event_cause,corridor,zone,priority,requires_road_closure_bool,hour_sin,hour_cos,dow_sin,dow_cos,latitude,longitude,closure_min,severity
tree_fall,Non-corridor,Unknown,Low,1,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,13.0061469,77.5794348,9465.174807333333,2
vehicle_breakdown,Non-corridor,Unknown,Low,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,12.95398,77.5852333,38.74983805,0
others,Non-corridor,Unknown,Low,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,12.973175,77.6003961,24202.316523816666,2
water_logging,ORR East 2,Unknown,High,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,13.0008457,77.6813712,9348.299649083334,2
tree_fall,Non-corridor,Unknown,Low,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,12.9233517,77.5904883,293.3450075,1
vehicle_breakdown,Hosur Road,Unknown,High,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,12.9071221,77.6286395,27.2487523,0
tree_fall,Non-corridor,Unknown,Low,1,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,12.927375,77.5806883,2928.5208131000004,2
tree_fall,Non-corridor,Unknown,Low,1,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,12.9463911,77.597326,843.3240253,2
pot_holes,Non-corridor,Unknown,Low,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,12.9635109,77.6642122,9.079776783333333,0
tree_fall,Non-corridor,Unknown,Low,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,12.92757,77.5832051,2907.6902057166667,2
others,Bellary Road 1,Unknown,High,1,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,12.9936273,77.5844677,106.41915116666668,1
others,Tumkur Road,Unknown,High,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,13.0262806,77.5442344,133.52983253333335,1
